Index,CH-1 CWST,CH-1 CWRT,CH-1 FLOWRATE
213,27.92400016784668,36.06400146484375,0.0
214,27.93199958801269,36.07200012207032,0.0
215,28.266000366210946,36.386000061035155,0.0
216,28.483999633789054,36.57399978637695,0.0
217,28.31000022888184,36.41999816894531,0.0
218,28.0,36.14000015258789,0.0
219,27.61999969482422,35.763999938964844,0.0
220,27.739999771118164,35.84399948120117,0.0
221,28.002000045776374,36.09199905395508,0.0
222,28.290000534057626,36.40999908447266,0.0
223,28.35400047302246,36.44399871826172,0.0
224,28.14000053405761,36.257999420166016,0.0
225,27.837999725341795,35.92199935913086,0.0
226,27.91400032043457,35.99000015258789,0.0
227,28.000000381469725,36.09800033569336,0.0
228,28.26400032043457,36.364000701904295,0.0
229,28.13000030517578,36.24599914550781,0.0
230,27.952000045776373,36.04800033569336,0.0
231,28.12800025939941,36.22399978637695,0.0
232,28.342000579833986,36.4379997253418,0.0
233,28.22400016784668,36.344000244140624,0.0
234,27.96599998474121,36.09199905395508,0.0
235,27.809999465942386,35.90999984741211,0.0
236,27.992000198364266,36.09199981689453,0.0
237,28.372000122070308,36.41999969482422,0.0
238,28.483999633789054,36.62799987792969,0.0
239,28.31000022888184,36.44599914550781,0.0
240,28.07800025939941,36.217999267578115,0.0
241,28.01000022888184,36.14999847412109,0.0
242,27.895999908447266,36.0,0.0
243,28.07800025939941,36.19799957275391,0.0
244,28.420000076293945,36.51599960327147,0.0
245,28.29200019836425,36.427999877929686,0.0
246,28.078000640869146,36.24399948120117,0.0
247,27.952000045776373,36.066000366210936,0.0
248,27.87999992370605,36.024000549316405,0.0
249,28.05800018310547,36.13199920654297,0.0
250,28.334000015258788,36.43199920654297,0.0
251,28.358000183105467,36.47399826049805,0.0
252,28.07800025939941,36.2239990234375,0.0
253,27.82200012207032,35.895999145507815,0.0
254,27.86400032043457,35.94799957275391,0.0
255,28.122000122070308,36.09599914550781,0.0
256,28.387999725341807,35.963999938964854,0.0
257,28.160000228881835,35.67199935913086,0.0
258,27.844000244140624,35.2879997253418,0.0
259,27.78600006103516,35.20599899291992,0.0
260,27.940000152587892,35.28199996948242,0.0
261,28.08600006103516,35.3760009765625,0.0
262,28.14600067138672,35.38400115966797,0.0
263,28.096000289917,35.204000091552736,0.0
264,27.79999961853027,34.66800003051757,0.0
